Exercise_ID,Exercise name,Position,Exercise group,Category_Code,Progression_Level,Difficulty,Equipment_Needed,Primary_Target,Contraindications,Exercise description
EX-THE-001,TRUNK EXTENSION--TOWEL AROM MOBILIZATION,Seated,Thoracic extension,THE,1,Basic,None,Thoracic,None,"While sitting in a chair, extend your thoracicspine backwards over a rolled up towel againstthe back rest."
EX-THE-002,SPINE ROLL--FOAM ROLL,Spine,Thoracic extension,THE,2,Basic,Foam Roller,Multi,None,Start by lying on your back with a foam rollunder your back.Place your hands on your stomach and thenslowly roll forward and back across your backusing your legs as shown.
EX-THE-003,FOAM ROLL--TRUNK EXTENSION,Supine,Thoracic extension,THE,3,Basic,Foam Roller,Multi,None,Start by lying on your back with a foam rollunder your back. Next place your handsbehind your neck or across your chest.Then slowly extend your spine over the roll.
EX-THE-004,Thoracic Segmental Mobility StretchingExercise,Supine,Thoracic extension,THE,4,Basic,Foam Roller,Multi,None,"Use a 6 inch foam roller for this exercise- Lay on it crossways, placing it on a stiff spoton your spine- Place your hands behind your head forsupport and slowly lift your hips to increase thestretch on your backPerform the following option if directed by yourtherapist- Gently rock back and forth over the foamroller"
EX-THE-005,Thoracic Extension,Seated,Thoracic extension,THE,5,Basic,None,Glutes,None,Sit in a chair with your buttocks along the backof the chair. Interlock your hands and placethem behind your head and neck for support.Lean backwards over the back of the chair untilyou feel a comfortable stretch. Hold forinstructed time.
EX-THE-006,Thoracic Matrix Rotation Left,Seated,Thoracic extension,THE,6,Basic,None,Thoracic,None,"In seated position, patient will move slowlythrough full, pain free range of motion. Fullrotation ,right and left, of the trunk withscapular protraction and for mobility andstability of the spine."
EX-THE-007,Thoracic Extension,Seated,Thoracic extension,THE,7,Basic,None,Multi,None,"Sitting on a chair with the top hitting your midback, place your hands crossed on yourshoulders. Slowly tilt back so you arestretching your mid back. Hold for 20-30seconds. Release and repeat."
EX-THE-008,Seated Thoracic Extension,Seated,Thoracic extension,THE,8,Advanced,Stability Ball,Lumbar Extensors,None,"Seated in a chair with foam roller (1/2 foamroll, rolled up towel, or two tennis balls in sock)on a given point of your thoracic vertebrae.Place hands interlaced behind neck to inhibitmovement through cervical spine. Using thefoam roll as a fulcrum extension trunk over roll.Initiate movement from chest neck head orneck. Be aware of low back as well, it will wantto compensate for poor mobility in trunk. Keepas engaged and only allow movement inthoracic region. Repeat as instructed. THENmove roll up or down and repeat sequence."
EX-THR-001,TRUNK ROTATION STRETCH BILATERAL,Supine,Thoracic rotation,THR,1,Basic,None,Multi,None,"Start by lying on your back with your kneesbent.Next, slowly allow your knees to drop to theside as you rotate through your spine for agentle stretch. Then rotate to the other side fora gentle stretch. Repeat alternating sides."
EX-THR-002,Supine trunk rotation,Supine,Thoracic rotation,THR,2,Basic,None,Multi,None,"Starting position: arms in a ""T"" shape, kneesbentMovement: Lower both legs down to one side,keeping opposite shoulder on mat. Hold for 30seconds and rotate to other side.*Add rotation of head/neck to opposite side ifyou would like a neck stretch. Make sure yourhead is in a neutral position and chin tuckedwhen you rotate"
EX-THR-003,SIDE LYING TRUNK ROTATION,Side Lying,Thoracic rotation,THR,3,Basic,None,Multi,None,"While lying on your side with your arms out-stretched in front of your body, slowly twist yourupper body to the side and rotate your spine.Your arms and head should also be rotatingalong with the spine as shown. Follow yourhead with your hand."
EX-THR-004,Open Book,Side Lying,Thoracic rotation,THR,4,Basic,None,Multi,None,"Lie on your side with arms straight out andhands pressed together in front of you. Kneesare pulled up and bent towards the chest.From here, turn your torso so your back is lyingflat on the ground, and your arms have openedup like a book. Hold this position beforereturning to start."
EX-THR-005,Open Book,Side Lying,Thoracic rotation,THR,5,Basic,None,Multi,None,"Lying on your side, arms straight out in front ofyou. Keeping arms straight, move top armaway from bottom and try to reach back ofhand to opposite side of mat while keepinglower half still (legs don't move)."
EX-THR-006,THORACIC ROTATION,Quadruped,Thoracic rotation,THR,6,Basic,None,Glutes,None,"While in a crawl position, lower your buttock alittle towards your feet to get in a lower positionas shown.Next, with a hand behind your head, rotateyour body and your head to the side, thenreturn"
EX-THR-007,UPPER TRUNK ROTATIONS - UTR,Seated,Thoracic rotation,THR,7,Basic,None,Multi,None,"While sitting in a chair, cross your arms overyour chest and then rotate your upper bodyside-to-side."
